Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,25/08/2012 9:16,,,,RUR - Сбербанк Card,-60,"1,874.60",,\Все статьи расхода\%,\Все платёжные агенты\Вадим,
+,26/08/2012 18:38,RUR - Наличные,"9,000.00","13,117.53",RUR - CitiBank Card V,"-9,000.00","44,930.10",,,,
+,26/08/2012 18:39,,,,RUR - CitiBank Credit Card V,-356.8,"273,644.97",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,26/08/2012 18:41,,,,RUR - CitiBank Credit Card,"-1,062.96","202,310.30",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,26/08/2012 18:45,RUR - CitiBank Credit Card,"5,700.00","208,010.30",RUR - CitiBank Card,"-5,700.00","10,854.64",,,,
+,26/08/2012 18:47,RUR - CitiBank Credit Card V,400,"274,044.97",RUR - CitiBank Card V,-400,"44,530.10",,,,
+,26/08/2012 18:56,,,,RUR - Наличные,-250,"12,867.53",,\Все статьи расхода\Благотворительность,\Все платёжные агенты\Вадим,
+,28/08/2012 15:43,,,,RUR - Наличные,-200,"12,667.53",такси,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,29/08/2012 15:54,,,,RUR - Наличные,-160,"12,507.53",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,29/08/2012 19:29,RUR - CitiBank Credit Card,109.09,"208,119.39",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Света,
+,29/08/2012 19:39,RUR - CitiBank Credit Card V,96.05,"274,141.02",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Вадим,
+,30/08/2012 15:43,,,,RUR - Наличные,-200,"12,307.53",такси,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,30/08/2012 15:47,,,,RUR - Наличные,-302,"12,005.53",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,30/08/2012 15:53,,,,RUR - Наличные,"-1,000.00","11,005.53",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,30/08/2012 15:54,,,,RUR - Наличные,-786.15,"10,219.38",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,30/08/2012 18:41,,,,RUR - CitiBank Credit Card,-589.65,"207,529.74",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,30/08/2012 18:41,,,,RUR - CitiBank Credit Card,-294.41,"207,235.33",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,1/09/2012 8:55,,,,RUR - CitiBank Card V,-65,"44,465.10",,\Все статьи расхода\%,\Все платёжные агенты\Вадим,
+,1/09/2012 15:55,,,,RUR - Наличные,-397,"9,822.38",,"\Все статьи расхода\Досуг, развлечения\Книги",\Все платёжные агенты,
+,1/09/2012 17:41,,,,RUR - CitiBank Credit Card,-65,"207,170.33",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,1/09/2012 18:41,,,,RUR - CitiBank Credit Card,"-2,502.00","204,668.33",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,1/09/2012 18:41,,,,RUR - CitiBank Credit Card,-983.76,"203,684.57",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,1/09/2012 19:41,,,,RUR - CitiBank Credit Card V,-65,"274,076.02",,\Все статьи расхода\%,\Все платёжные агенты\Вадим,
+,1/09/2012 19:42,RUR - Сбербанк Универсальный,"30,000.00","88,000.38",,,,,\Все статьи прихода\Возврат долга,\Все платёжные агенты\Вадим,
+,1/09/2012 22:40,,,,RUR - CitiBank Card,-65,"10,789.64",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,2/09/2012 15:44,,,,RUR - Наличные,-44,"9,778.38",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
+,2/09/2012 15:46,,,,RUR - Наличные,-250,"9,528.38",ремонт,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
+,2/09/2012 15:51,,,,RUR - Наличные,-400,"9,128.38",,\Все статьи расхода\Средства гигиены и косметика\Стрижка,\Все платёжные агенты\Света,
+,2/09/2012 15:52,,,,RUR - Наличные,-524.9,"8,603.48",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,2/09/2012 15:53,,,,RUR - Наличные,-454,"8,149.48",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,2/09/2012 15:53,,,,RUR - Наличные,-164,"7,985.48",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,2/09/2012 16:10,,,,RUR - Наличные,"-1,418.98","6,566.50",,,,
+,2/09/2012 18:41,,,,RUR - CitiBank Credit Card,-806.35,"202,878.22",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,2/09/2012 18:41,,,,RUR - CitiBank Credit Card,-828.5,"202,049.72",,\Все статьи расхода\Дом\Бытовая химия,\Все платёжные агенты\Света,
+,2/09/2012 19:36,RUR - CitiBank Credit Card,"6,000.00","208,049.72",RUR - CitiBank Card,"-6,000.00","4,789.64",,,,
+,3/09/2012 18:41,,,,RUR - CitiBank Credit Card,-368,"207,681.72",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,3/09/2012 18:41,,,,RUR - CitiBank Credit Card,-102,"207,579.72",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Света,
+,4/09/2012 18:39,,,,RUR - CitiBank Credit Card V,-467.41,"273,608.61",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,4/09/2012 18:39,,,,RUR - CitiBank Credit Card V,-316.75,"273,291.86",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,5/09/2012 22:02,RUR - CitiBank Card V,"31,879.54","76,344.64",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Вадим,
+,5/09/2012 22:42,,,,RUR - Наличные,-400,"6,166.50",бутылочка Архиппу,\Все статьи расхода\Дом\Посуда,\Все платёжные агенты\Света,
+,7/09/2012 22:03,,,,RUR - CitiBank Credit Card V,"-1,005.61","272,286.25",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,7/09/2012 22:27,RUR - Авангард Card,"13,883.33","13,940.97",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,8/09/2012 22:41,,,,RUR - Наличные,-69,"6,097.50",,\Все статьи расхода\Дом\Посуда,\Все платёжные агенты\Света,
+,9/09/2012 18:41,,,,RUR - CitiBank Credit Card,"-4,940.00","202,639.72",,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
+,9/09/2012 22:45,,,,RUR - Наличные,-407,"5,690.50",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,10/09/2012 15:53,,,,RUR - Наличные,"-1,907.42","3,783.08",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,11/09/2012 22:45,,,,RUR - Наличные,-400,"3,383.08",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,12/09/2012 15:53,,,,RUR - Наличные,-98,"3,285.08",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,12/09/2012 18:41,,,,RUR - CitiBank Credit Card,-348.38,"202,291.34",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,12/09/2012 22:34,RUR - Наличные,"10,000.00","13,285.08",,,,,\Все статьи прихода\Подарки,\Все платёжные агенты\Архипп,
+,12/09/2012 22:35,RUR - Наличные,"1,700.00","14,985.08",,,,,\Все статьи прихода\Возврат долга,\Все платёжные агенты\Вадим,
+,12/09/2012 22:44,,,,RUR - Наличные,-300,"14,685.08",парковка,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Света,
+,12/09/2012 22:50,,,,RUR - Наличные,"-2,055.00","12,630.08",химчистка,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,12/09/2012 22:51,,,,RUR - Наличные,-312,"12,318.08",мойка,\Все статьи расхода\Транспорт\Авто\Уход,\Все платёжные агенты\Света,
+,13/09/2012 15:53,,,,RUR - Наличные,-117,"12,201.08",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,13/09/2012 22:33,RUR - Sberbank,"237,576.00","237,576.00",,,,,\Все статьи прихода\Имущественный вычет,\Все платёжные агенты\Света,
+,13/09/2012 22:35,RUR - Наличные,"2,535.00","14,736.08",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,13/09/2012 22:43,,,,RUR - Наличные,-387,"14,349.08",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
